Species,ID,Gender,Hatch Date,weight,Price,sale price,On website,Status,Availability
Chahoua,MC1 Azalea x Everest #1,NPV,9/9/2024,9.17g,6500,,,,
Chahoua,MC2 Judge x Hyacinth,NPV,7/15/2024,15.57g,6500,,,,
Chahoua,MC3 Spring x Sage,Male,8/13/2024,8.87g,4000,,,,
Chahoua,MC4 Judge x Hyacinth #2,NPV,9/10/2024,8.68g,1200,,,,
Chahoua,MC5 Parula x Quartz ,Male,10/30/2024,6.64g,400,,no,Auction,
Chahoua,MC6 Loon x Thrush ,Male ,11/7/2024,4.96g,325,,no,Auction,
Chahoua,MC7 Nectar x Cotopaxi,NPV,9/14/2024,12g,2000,2500,,,
Chahoua,MC8 Vanda x Atlas,NPV,6/27/2024,13.33g,2000,,,,
Chahoua,MC9 Tangara x Thrasher,Probable female,9/18/2024,12g,1200,,,,
Chahoua,MC10 Cartman x Coronet,Unsexed NPV,9/18/2024,7.62g,600,,no,,
Chahoua,MC11 Labyrinth x Skyy,Male,10/18/2024,9.34g,3000,3650,,,
Chahoua,MC12 Laelia x Source,Unsexed NPV,10/8/2024,11.90g,4000,,,,
Chahoua,MC 13 Disco x Gannet,Unsexed NPV,10/24/2024,6.73g,1200,,,,
Chahoua,MC 14 Nectar x Judge,NPV ,9/15/2024,14g,4500,5k,,,
Chahoua,MC15 Gardenia x Eclipse,Unsexed NPV,9/17/2024,7.28g,1650,,,,
Chahoua,MC16 Arctica x Lolo,Unsexed NPV,10/4/2024,6.39g,5500,,,,
Chahoua,MC17 Tangara x Thrasher 2,Possible male,9/18/2024,8.22g,1200,,,,
Chahoua,MC18 Nebula x Persia,Unsexed,10/25/2024,6.03g,425,,No,Auction,
Chahoua,MC19 Koala x Jacamar,Unsexed NPV,8/27/2024,7.95g,750,,,Auction,
Chahoua,MC20 MMM x Sahara,male,10/30/2024,1/7/1900,4250,,,,
Chahoua,MC21 Aphrodite x Pinnacle,Unsexed NPV,10/7/2024,11.30g,5500,5k,,,
Chahoua,MC22 Soul Shifter x Sad Night Dynamite,Female,7/18/2024,16.01g,7000,,Yes,,
Chahoua,MC23 Labyrinth x Skyy,Poss male,8/9/2024,12.20g,4500,3650,no,,
Chahoua,MC24 Joyride x Sundown,Female,10/30/2024,7.04g,"15,000",,no,,
Chahoua,MC25 Feliz x JB,Unsexed NPV,10/26/2024,6.82g,"10,000",,no,,
Chahoua,MC26 Indo x Fungi ,Female,7/15/2024,12.48g,"10,000",,no,,
Chahoua,MC27 Laelia x Source,Female,8/5/2024,14.6g,"4,250",4k,Yes,,
Chahoua,MC28 Feliz x JB,Possible male,11/4/2024,7.55g,"5,500",,no,,
Chahoua,MC29 Southern Charm x Calyx,Male,10/15/2024,1/9/1900,"2,500",2k,No,,
Chahoua,MC30 Starling x Denali,Unsexed NPV,10/18/2024,6.92g,"6,000",,No,,
Chahoua,MC31 Laelia x Source,Female,6/23/2024,15.43g,"12,000",,yes,,
Chahoua,MC32 Soul Shifter x Sad night Dynamite,Male,9/12/2024,8.19g,950,,no,Hold back,
Chahoua,MC33 Laelia x Source,Female,10/6/2024,12.23g,"1,650",,no,,
Chahoua,MC34 Aphrodite x Pinnacle,Male,8/9/2024,10.13g,"5,500",,yes,Holdback,
Chahoua,MC35 Parula x Quartz,Poss male,8/27/2024,8.96g,400,,no,Auction,
Chahoua,MC36 Lady Slipper x Bandit,Male,6/25/2024,13.91g,"7,000",,Yes,,
Chahoua,MC37 Whiteout x Sabre,Female,6/8/2024,13.45g,"1,500",,Yes,,
Chahoua,MC38 Southern Charm x Calyx ,Unsexed NPV,10/16/2024,10.45g,"2,250",,No,,
Chahoua,MC39 Nectar x Cotopaxi,Male,7/21/2024,11.24g,"6,000",,no,,
Chahoua,MC40 Joyride x Sundown,Male,6/25/2024,13.03g,"3,650",,no,,
Chahoua,MC41 Sun Dragon x Tiger Balm,Male,11/23/2024,7.39g,2k,,,,
Chahoua,MC42 Gardenia x Eclipse ,Poss male,7/21/2024,11.88g,750,,yes,Auction,
Chahoua,MC43 Laelia x Source,female,8/6/2024,14.10g,"2,000",,no,,
Chahoua,MC44 Gardenia x Eclipse,Female,5/31/2024,16.48g,999,,yes,,
Chahoua,MC45 Labyrinth x Skyy,male,8/6/2024,12.33g,"3,500",,no,,
Chahoua,MC46 Arctica x Lolo,Poss male,8/1/2024,9.90g,"2,000",,no,,
Chahoua,MC47 Joyride x Sundown ,male,10/29/2024,6.48g,"8,500",,no,,
Chahoua,MC48 Prism x Rhythm,Unsexed,10/19/2024,7.40g,"12,000",,no,,
Chahoua,MC49 Labyrinth x Skyy,poss male,10/18/2024,7.75g,"6,000",,no,,
Chahoua,MC50 Hyacinth x Judge ,poss male ,9/9/2024,8.81g,"5,000",,no,,
Chahoua,MC 51 Prism x Rhythm ,poss male,8/6/2024,8.43g,999,,no,,
Chahoua,MC52 MMM X sahara,male,6/28/2024,15.48g,"3,850",,yes,,
Chahoua,MC53 Koala x Jacamar,Poss male,7/14/2024,10.18g,999,,no,,
Chahoua,MC54 Whiteout x Sabre ,Prob female NPV,8/4/2024,8.94g,"3,500","2,850",no,,
Chahoua,MC55 Greenlet x Kush,Male,6/7/2024,15.28g ,385,,no,Auction,
Chahoua,MC56 Nectar x Cotopaxi ,Male,7/21/2024,11.10g,"2,500",,yes,,
Chahoua,MC57 Joyride x Sundown ,Male,6/30/2024,9.64g,"2,500",,yes,,
Chahoua,MC58 Azalea x Everest,Female,7/21/2024,17g,"3,000","3,500",no,,
Chahoua,MC59 Koala x Jacamar,Female,7/14/2024,12.83g,"1,350",,no,,
Chahoua,MC60 Vader x Lotus,Female,7/31/2024,13.07g,"6,000",,no,,
Chahoua,MC61 Southern Charm x Calyx ,Male,7/31/2024,11.80g,"2,650",,no,,
Chahoua,MC62 tangara x thrasher,Unsexed,5/18/2025,,,,,,
Chahoua,MC63 Tangara x Thrasher,Unsexed,5/16/2025,,,,,,
Chahoua,MC64 Bliss x Lark,Unsexed,5/18/2025,,,,,,
Chahoua,MC65 Skittles x Funk,Unsexed,1/25/2025,,,,,,
